ID,#日本語(原文),#やさしい日本語,#英語(原文),
33210,今日の新聞は、まだ読んでいない。,今日の新聞は、まだ読んでいない。,i 've not read today 's paper yet .,
33211,彼は頭がよいがやはり嫌いだ。,彼は頭がよいがやっぱり嫌いだ。,"he 's intelligent , but i still don 't like him .",
33212,彼は自分の成功を鼻にかけている。,彼は自分の成功を鼻にかけている。,he is boastful of his success .,
33213,私は彼女をたいへん利口だと思った。,私は彼女をとても賢い人だと思った。,i thought her very clever .,
33214,彼女は庭の花を摘んだ。,彼女は庭の花をとった。,she picked flowers in the garden .,
33215,カナダでは英語とフランス語を話します。,カナダでは英語とフランス語を話します。,they speak english and french in canada .,
33216,真実を話すことが重要だと思います。,本当のことを話すことが重要だと思います。,i think it important to tell the truth .,
33217,村の人はみな彼のことを尊敬している。,村の人はみんな彼のことを尊敬している。,everybody in the village looks up to him .,
33218,彼女は目を閉じたままであった。,彼女は目を閉じたままであった。,she kept her eyes closed .,
33219,彼の助言に注意しなさい。,彼の助言に注意しなさい。,pay attention to his advice .,
33220,この帽子はあの帽子ほど高価ではない。,この帽子はあの帽子ほど高い価値ではない。,this hat is less expensive than that one .,
33221,パリはどこにありますか。,パリはどこにありますか。,where is paris ?,
33222,水を少しください。,水を少しください。,please give me some water .,
33223,姉と私は、あらゆる点で違う。,姉と私は、あらゆる点で異なる。,my sister and i are different in every way .,
33224,君は私に真実を言うべきだったのに。,あなたは私に本当のことを言うべきだったのに。,you should have told me the truth .,
33225,彼は危険に気づいていなかった。,彼は危険に気づいていなかった。,he was unaware of the danger .,
33226,私が払うのでなくてよかったよ。,私が払うのでなくてよかったよ。,i 'm glad it 's not coming out of my pocket .,
33227,私はその部屋に入ったとき彼を見かけた。,私はその部屋に入った時彼を見た。,i caught sight of him as i entered the room .,
33228,もう一つケーキを食べてもいいですか。,もう１つケーキを食べてもいいですか。,may i have another piece of cake ?,
33229,私は今週お休みです。,私は今週お休みです。,i am on holiday this week .,
33230,私はいつもより遅く着きました。,私はいつもより遅く着きました。,i arrived later than usual .,
33231,床が揺れるのを感じた。,床が動いていたのを感じる。,i felt the floor shake .,
33232,週末遊びに来ませんか。,週の終わる頃に遊びに来ませんか。,won 't you come and see me this weekend ?,
33233,６時で都合はよろしいですか。,６時で時間はよいですか。,will six o 'clock suit you ?,
33234,彼はそれだけのことをやってたんだから。,彼はそれだけのことをやってたんだから。,he paid his dues for what he is now .,
33235,お客様の住所を書いて下さい。,お客様の住所を書いてください。,please write down your home address .,
33236,気が散るからテレビを消してくれ。,気になるからテレビを消してくれ。,turn off the television . i can 't concentrate .,
33237,私は父の仕事をしなければならない。,私は父の仕事をしなければならない。,i must be about my father 's business .,
33238,銀行へ行ってきたところです。,銀行へ行ってきたところです。,i 've been to the bank .,
33239,歌を歌っている少年は私の弟です。,歌を歌っている少年は私の弟です。,the boy singing a song is my brother .,
33240,ここで車を止めてください。,ここで車を止めてください。,pull over right here .,
33241,老人の人たちをからかってはいけませんよ。,老人の人たちを馬鹿にしてはダメですよ。,don 't make fun of old people .,
33242,私たちはその光景に驚いた。,私たちはその景色に驚いた。,we were surprised at the sight .,
33243,私の知る限りでは、彼は正直で信頼できる。,私の知る限りでは、彼は正直で信頼できる。,"to the best of my knowledge , he is honest and reliable .",
33244,バス停はどこにありますか。,バスが止まる所はどこにありますか。,where 's the bus stop ?,
33245,火の用心をしなさい。,火の使い方を気にしろ。,guard against the danger of fire .,
